,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,HS,AS,HST,AST,HF,AF,HC,AC,HY,AY,HR,AR,B365H,B365D,B365A,BWH,BWD,BWA,Season,H_ELO,A_ELO
92,2018-11-10,Fortuna Düsseldorf,Hertha BSC,4,1,0,0,0,1,20,11,9.0,5.0,15,15,2,6,1,3,0,1,3.6,3.4,2.1,3.5,3.5,2.1,18/19,2380,2390
93,2018-11-10,SC Freiburg,1. FSV Mainz 05,1,3,2,0,2,2,15,12,4.0,9.0,19,10,3,4,1,2,0,0,2.0,3.4,3.75,2.1,3.4,3.6,18/19,2414,2349
94,2018-11-10,TSG 1899 Hoffenheim,FC Augsburg,2,1,0,0,0,1,18,22,7.0,7.0,14,6,6,6,1,1,0,0,1.61,4.33,5.0,1.62,4.25,5.0,18/19,2525,2335
95,2018-11-10,1. FC Nürnberg,VfB Stuttgart,0,2,2,0,0,1,10,13,3.0,4.0,14,10,3,9,1,0,0,0,2.4,3.25,3.1,2.45,3.4,2.9,18/19,2196,2333
96,2018-11-10,Werder Bremen,Borussia Mönchengladbach,1,3,2,0,1,2,20,16,5.0,6.0,7,2,9,5,0,0,0,0,2.4,3.5,2.75,2.45,3.5,2.8,18/19,2492,2534
97,2018-11-11,Eintracht Frankfurt,FC Schalke 04,3,0,0,0,0,1,14,5,4.0,1.0,7,13,10,4,0,2,0,0,2.2,3.3,3.4,2.3,3.4,3.1,18/19,2531,2461
98,2018-11-11,RBLeipzig,Bayer Leverkusen,3,0,0,1,0,0,14,7,7.0,2.0,12,12,4,3,0,1,0,0,1.8,4.0,4.0,1.85,3.9,3.9,18/19,2638,2555
99,2018-11-23,Bayer Leverkusen,VfB Stuttgart,2,0,0,0,0,1,17,10,4.0,2.0,13,8,6,9,3,3,0,0,1.5,4.5,6.0,1.55,4.33,5.75,18/19,2555,2333
100,2018-11-24,FC Augsburg,Eintracht Frankfurt,1,3,2,0,1,2,25,15,10.0,7.0,3,12,8,5,1,2,0,0,2.62,3.5,2.62,2.6,3.5,2.6,18/19,2335,2531
101,2018-11-24,Bayern München,Fortuna Düsseldorf,3,3,1,2,1,0,17,9,5.0,5.0,4,7,9,2,0,1,0,0,1.08,11.0,26.0,1.09,11.5,23.0,18/19,2726,2380
